,index,lamda,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
48,2015731,0.0016208104052026014,0.05138016491301687,-0.034664480055591376,-0.0,-0.007181171146565248,-0.005752968084657453,-0.0,-0.0,-0.00983645299964741,-0.0216445093989457,-0.0029740161668971405,-0.0,-0.0
49,2015930,0.0015727863931965984,0.054645293518169234,-0.03656635871182409,-0.0,-0.017277789977547666,-0.0,-0.0,-0.0,-0.0,-0.024055488236446536,-0.02097286705876615,-0.0,-0.0
50,2017331,0.00464632316158079,0.04745706868171843,-0.024680492486322043,-0.0,-0.0,-0.0,-0.04097810939506857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
51,20171229,7.50375187593797e-05,0.058911907538559974,-0.03014672174296678,-0.027972668290124653,0.0,0.0,4.09986018282169e-05,0.0,0.0,0.0,-0.0,-0.0,-0.05767484499077887
52,20131231,0.0037638819409704853,0.042199458339027766,-0.017420938312601445,-0.0,-0.0,-0.0,-0.013353151976478359,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
53,2013329,0.004685342671335668,0.04818165729079388,-0.028883239002218862,-0.0,-0.0,-0.0,-0.03574547747106486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
54,2014228,0.004424212106053027,0.04166168718998909,-0.0200553920265953,-0.0,-0.0,-0.0,-0.00756946345489598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
55,2016429,0.0035387693846923463,0.05307206942268847,-0.033543638690639234,-0.0,-0.0,-0.0,-0.062363891298266666,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
56,2017428,0.005936968484242121,0.04554964677656326,-0.018793270186524044,-0.0,-0.0,-0.034266618171047376,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
57,20131031,0.0008374187093546774,0.045406783608962734,-0.021883717772026006,-0.0016861264944307618,-0.008775278604742618,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011435175768541002,-0.004874608421826367
58,20141128,0.004511255627813907,0.04456484253005134,-0.022573346880780366,-0.0,-0.0,-0.0,-0.019547491768781653,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
59,2014731,0.003100550275137569,0.04205611325779019,-0.01912451717891023,-0.0,-0.0,-0.0,-0.0090924901523568,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
60,2014930,0.0037188594297148576,0.042009501298744215,-0.020654513229953944,-0.0,-0.0,-0.0,-0.014460018948589361,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
61,2014530,0.004025012506253127,0.04244558247780502,-0.019117622488154767,-0.0,-0.0,-0.0,-0.010924358277443869,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
62,2016331,0.0036078039019509754,0.05319321001827872,-0.03825854835726782,-0.0,-0.0,-0.0,-0.061538913603497496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
63,2013426,0.005393696848424212,0.04734362124031928,-0.029162139582361045,-0.0,-0.0,-0.0,-0.031998850970392206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
